Episode 72, Reward: -906.68, Average Reward: -100.74, Loss: 37.92, value_loss: 41.07
Episode 73, Reward: -545.00, Average Reward: -90.83, Loss: 110.66, value_loss: 15.56
Episode 74, Reward: -367.60, Average Reward: -91.90, Loss: 99.82, value_loss: 13.31
Episode 75, Reward: -647.20, Average Reward: -92.46, Loss: 100.04, value_loss: 14.38
Episode 76, Reward: -548.20, Average Reward: -91.37, Loss: 81.65, value_loss: 12.40
Episode 77, Reward: -180.80, Average Reward: -90.40, Loss: 62.34, value_loss: 12.51
Episode 78, Reward: -835.10, Average Reward: -92.79, Loss: 64.26, value_loss: 19.07
Episode 79, Reward: -631.90, Average Reward: -90.27, Loss: 57.04, value_loss: 17.30
Episode 80, Reward: -901.70, Average Reward: -100.19, Loss: 50.20, value_loss: 57.65
Episode 81, Reward: -277.30, Average Reward: -92.43, Loss: 146.83, value_loss: 16.57
Episode 82, Reward: -182.40, Average Reward: -91.20, Loss: 142.86, value_loss: 18.79
Episode 83, Reward: -184.80, Average Reward: -92.40, Loss: 59.79, value_loss: 5.72
Episode 84, Reward: -817.20, Average Reward: -90.80, Loss: 103.70, value_loss: 19.01
Episode 85, Reward: -653.40, Average Reward: -93.34, Loss: 66.16, value_loss: 16.93
Episode 86, Reward: -186.00, Average Reward: -93.00, Loss: 70.06, value_loss: 20.83
Episode 87, Reward: -638.00, Average Reward: -91.14, Loss: 81.49, value_loss: 12.42
Episode 88, Reward: -860.60, Average Reward: -95.62, Loss: 56.87, value_loss: 25.74
Episode 89, Reward: -442.10, Average Reward: -88.42, Loss: 99.41, value_loss: 12.53
Episode 90, Reward: -542.20, Average Reward: -90.37, Loss: 89.82, value_loss: 11.19
Episode 91, Reward: -547.80, Average Reward: -91.30, Loss: 78.90, value_loss: 17.83
Episode 92, Reward: -174.80, Average Reward: -87.40, Loss: 42.47, value_loss: 20.82
Episode 93, Reward: -816.10, Average Reward: -90.68, Loss: 51.66, value_loss: 13.20
Episode 94, Reward: -783.70, Average Reward: -97.96, Loss: 73.58, value_loss: 56.58
Episode 95, Reward: -915.60, Average Reward: -91.56, Loss: 138.32, value_loss: 27.86
Episode 96, Reward: -273.90, Average Reward: -91.30, Loss: 76.42, value_loss: 16.51
Episode 97, Reward: -642.50, Average Reward: -91.79, Loss: 67.50, value_loss: 16.29
Episode 98, Reward: -189.40, Average Reward: -94.70, Loss: 56.28, value_loss: 12.46
Episode 99, Reward: -533.80, Average Reward: -88.97, Loss: 51.94, value_loss: 12.39
Episode 101, Reward: -356.40, Average Reward: -89.10, Loss: 59.58, value_loss: 13.96
Episode 102, Reward: -449.90, Average Reward: -89.98, Loss: 74.85, value_loss: 9.16
Episode 103, Reward: -356.60, Average Reward: -89.15, Loss: 89.84, value_loss: 9.90
Episode 104, Reward: -276.00, Average Reward: -92.00, Loss: 72.28, value_loss: 16.21
Episode 105, Reward: -714.00, Average Reward: -89.25, Loss: 70.23, value_loss: 10.32
Episode 106, Reward: -618.00, Average Reward: -88.29, Loss: 56.50, value_loss: 14.73
Episode 107, Reward: -373.10, Average Reward: -93.28, Loss: 61.74, value_loss: 12.48
Episode 108, Reward: -830.10, Average Reward: -92.23, Loss: 71.05, value_loss: 14.66
Episode 109, Reward: -181.60, Average Reward: -90.80, Loss: 43.71, value_loss: 13.38
Episode 110, Reward: -711.41, Average Reward: -101.63, Loss: 20.67, value_loss: 31.31
Episode 111, Reward: -739.90, Average Reward: -92.49, Loss: 141.34, value_loss: 15.64
Episode 112, Reward: -457.10, Average Reward: -91.42, Loss: 92.40, value_loss: 10.22
Episode 113, Reward: -285.80, Average Reward: -95.27, Loss: 44.46, value_loss: 16.02
Episode 114, Reward: -383.30, Average Reward: -95.83, Loss: 29.67, value_loss: 25.70
Episode 115, Reward: -758.00, Average Reward: -94.75, Loss: 62.82, value_loss: 21.91
Episode 116, Reward: -910.00, Average Reward: -91.00, Loss: 71.20, value_loss: 21.74
Episode 117, Reward: -911.30, Average Reward: -91.13, Loss: 84.23, value_loss: 14.64
Episode 118, Reward: -722.30, Average Reward: -90.29, Loss: 86.01, value_loss: 18.97
Episode 119, Reward: -705.40, Average Reward: -88.17, Loss: 53.41, value_loss: 8.82
Episode 120, Reward: -439.70, Average Reward: -87.94, Loss: 44.75, value_loss: 10.15
Episode 121, Reward: -268.70, Average Reward: -89.57, Loss: 64.79, value_loss: 8.93
Episode 122, Reward: -541.20, Average Reward: -90.20, Loss: 73.84, value_loss: 10.44
Episode 123, Reward: -802.90, Average Reward: -89.21, Loss: 62.19, value_loss: 13.40
Episode 124, Reward: -620.90, Average Reward: -88.70, Loss: 50.54, value_loss: 9.03
Episode 125, Reward: -274.20, Average Reward: -91.40, Loss: 50.85, value_loss: 20.56
Episode 126, Reward: -532.60, Average Reward: -88.77, Loss: 59.21, value_loss: 10.29
Episode 127, Reward: -895.20, Average Reward: -89.52, Loss: 71.34, value_loss: 12.10
Episode 128, Reward: -919.80, Average Reward: -91.98, Loss: 45.45, value_loss: 10.12
Episode 129, Reward: -362.60, Average Reward: -90.65, Loss: 67.04, value_loss: 9.61
Episode 130, Reward: -182.40, Average Reward: -91.20, Loss: 87.72, value_loss: 8.50
Episode 131, Reward: -445.50, Average Reward: -89.10, Loss: 65.76, value_loss: 8.71
Episode 132, Reward: -920.70, Average Reward: -92.07, Loss: 57.83, value_loss: 18.14
Episode 133, Reward: -557.20, Average Reward: -92.87, Loss: 54.00, value_loss: 18.02
Episode 134, Reward: -188.40, Average Reward: -94.20, Loss: 68.00, value_loss: 10.67
Episode 135, Reward: -181.60, Average Reward: -90.80, Loss: 76.47, value_loss: 8.82
Episode 136, Reward: -543.80, Average Reward: -90.63, Loss: 82.18, value_loss: 11.54
Episode 137, Reward: -490.30, Average Reward: -98.06, Loss: 22.21, value_loss: 38.73
Episode 138, Reward: -358.40, Average Reward: -89.60, Loss: 109.55, value_loss: 12.16
Episode 139, Reward: -731.70, Average Reward: -91.46, Loss: 94.65, value_loss: 13.50
Episode 140, Reward: -735.10, Average Reward: -91.89, Loss: 52.52, value_loss: 12.66
Episode 141, Reward: -907.40, Average Reward: -90.74, Loss: 56.83, value_loss: 10.01
Episode 142, Reward: -361.00, Average Reward: -90.25, Loss: 77.26, value_loss: 9.56
Episode 143, Reward: -528.60, Average Reward: -88.10, Loss: 53.76, value_loss: 10.83
Episode 144, Reward: -451.90, Average Reward: -90.38, Loss: 73.01, value_loss: 9.41
Episode 145, Reward: -359.60, Average Reward: -89.90, Loss: 81.27, value_loss: 13.02
Episode 146, Reward: -385.02, Average Reward: -96.26, Loss: 21.24, value_loss: 36.66
Episode 147, Reward: -373.90, Average Reward: -93.48, Loss: 42.55, value_loss: 20.13
Episode 148, Reward: -943.80, Average Reward: -94.38, Loss: 61.72, value_loss: 15.36
Episode 149, Reward: -181.20, Average Reward: -90.60, Loss: 91.37, value_loss: 9.64
Episode 150, Reward: -544.20, Average Reward: -90.70, Loss: 98.68, value_loss: 18.01
Episode 151, Reward: -730.02, Average Reward: -91.25, Loss: 61.49, value_loss: 29.09
Episode 152, Reward: -439.70, Average Reward: -87.94, Loss: 85.07, value_loss: 9.81
Episode 153, Reward: -177.80, Average Reward: -88.90, Loss: 39.24, value_loss: 10.10
Episode 154, Reward: -437.10, Average Reward: -87.42, Loss: 59.48, value_loss: 9.77
Episode 155, Reward: -534.90, Average Reward: -89.15, Loss: 56.17, value_loss: 10.23
Episode 156, Reward: -554.00, Average Reward: -92.33, Loss: 40.35, value_loss: 9.61
Episode 157, Reward: -454.30, Average Reward: -90.86, Loss: 54.48, value_loss: 8.90
Episode 158, Reward: -532.40, Average Reward: -88.73, Loss: 75.91, value_loss: 8.30
Episode 159, Reward: -628.60, Average Reward: -89.80, Loss: 50.18, value_loss: 12.53
Episode 160, Reward: -447.50, Average Reward: -89.50, Loss: 68.67, value_loss: 8.64
Episode 161, Reward: -624.30, Average Reward: -89.19, Loss: 66.34, value_loss: 10.56
Episode 162, Reward: -176.20, Average Reward: -88.10, Loss: 61.24, value_loss: 6.77
Episode 163, Reward: -715.70, Average Reward: -89.46, Loss: 43.31, value_loss: 12.72
Episode 164, Reward: -178.60, Average Reward: -89.30, Loss: 61.53, value_loss: 7.15
Episode 165, Reward: -594.95, Average Reward: -99.16, Loss: 22.17, value_loss: 28.72
Episode 166, Reward: -177.60, Average Reward: -88.80, Loss: 101.66, value_loss: 11.26
Episode 167, Reward: -699.26, Average Reward: -99.89, Loss: 35.70, value_loss: 32.37
Episode 168, Reward: -830.10, Average Reward: -92.23, Loss: 119.13, value_loss: 18.82
Episode 169, Reward: -485.10, Average Reward: -97.02, Loss: 5.47, value_loss: 24.35
Episode 170, Reward: -180.00, Average Reward: -90.00, Loss: 64.22, value_loss: 9.33
Episode 171, Reward: -872.40, Average Reward: -87.24, Loss: 64.56, value_loss: 11.26
Episode 172, Reward: -797.10, Average Reward: -88.57, Loss: 65.98, value_loss: 8.77
Episode 173, Reward: -437.90, Average Reward: -87.58, Loss: 47.69, value_loss: 9.19
Episode 174, Reward: -359.20, Average Reward: -89.80, Loss: 45.04, value_loss: 8.64
Episode 175, Reward: -444.70, Average Reward: -88.94, Loss: 55.66, value_loss: 9.20
Episode 176, Reward: -888.40, Average Reward: -88.84, Loss: 61.35, value_loss: 8.84
Episode 177, Reward: -180.60, Average Reward: -90.30, Loss: 66.89, value_loss: 9.01
Episode 178, Reward: -1045.12, Average Reward: -104.51, Loss: -1.93, value_loss: 75.10
Episode 179, Reward: -638.90, Average Reward: -91.27, Loss: 133.84, value_loss: 16.71
Episode 180, Reward: -190.40, Average Reward: -95.20, Loss: 90.22, value_loss: 10.39
Episode 181, Reward: -278.70, Average Reward: -92.90, Loss: 101.42, value_loss: 12.74
Episode 182, Reward: -546.00, Average Reward: -91.00, Loss: 91.04, value_loss: 10.01
Episode 183, Reward: -268.30, Average Reward: -89.43, Loss: 30.75, value_loss: 10.01
Episode 184, Reward: -381.40, Average Reward: -95.35, Loss: 31.66, value_loss: 38.57
Episode 185, Reward: -463.10, Average Reward: -92.62, Loss: 70.41, value_loss: 13.97
Episode 186, Reward: -836.30, Average Reward: -92.92, Loss: 86.48, value_loss: 14.71
Episode 187, Reward: -273.70, Average Reward: -91.23, Loss: 90.57, value_loss: 12.66
Episode 188, Reward: -439.90, Average Reward: -87.98, Loss: 61.17, value_loss: 10.37
Episode 189, Reward: -905.00, Average Reward: -90.50, Loss: 49.96, value_loss: 24.96
Episode 190, Reward: -183.10, Average Reward: -91.55, Loss: 80.85, value_loss: 12.48
Episode 191, Reward: -833.50, Average Reward: -92.61, Loss: 54.48, value_loss: 27.01
Episode 192, Reward: -722.70, Average Reward: -90.34, Loss: 89.64, value_loss: 11.38
Episode 193, Reward: -355.20, Average Reward: -88.80, Loss: 57.13, value_loss: 9.09
