Episode 144, Reward: -0.66, Average Reward: -0.11, Loss: 0.47, value_loss: 0.06
Episode 147, Reward: -0.63, Average Reward: -0.10, Loss: 0.25, value_loss: 0.43
Episode 148, Reward: -0.69, Average Reward: -0.11, Loss: 0.49, value_loss: 0.17
Episode 151, Reward: -0.75, Average Reward: -0.13, Loss: 0.29, value_loss: 0.05
Episode 152, Reward: -0.73, Average Reward: -0.12, Loss: 0.52, value_loss: 0.03
Episode 156, Reward: -0.34, Average Reward: -0.06, Loss: 0.24, value_loss: 0.23
Episode 157, Reward: -0.63, Average Reward: -0.10, Loss: 0.51, value_loss: 0.19
Episode 158, Reward: -0.48, Average Reward: -0.08, Loss: 0.04, value_loss: 0.45
Episode 167, Reward: -0.71, Average Reward: -0.12, Loss: 0.60, value_loss: 0.03
Episode 168, Reward: -0.44, Average Reward: -0.07, Loss: -0.10, value_loss: 0.24
Episode 169, Reward: -0.52, Average Reward: -0.09, Loss: -0.19, value_loss: 0.24
Episode 171, Reward: -0.54, Average Reward: -0.09, Loss: 0.25, value_loss: 0.11
Episode 172, Reward: -0.62, Average Reward: -0.10, Loss: 0.45, value_loss: 0.21
Episode 173, Reward: -0.59, Average Reward: -0.10, Loss: 0.25, value_loss: 0.08
Episode 174, Reward: -0.67, Average Reward: -0.11, Loss: 0.43, value_loss: 0.04
Episode 175, Reward: -0.73, Average Reward: -0.12, Loss: 0.26, value_loss: 0.03
Episode 176, Reward: -0.67, Average Reward: -0.11, Loss: 0.10, value_loss: 0.07
Episode 177, Reward: -0.73, Average Reward: -0.12, Loss: 0.31, value_loss: 0.07
Episode 178, Reward: -0.44, Average Reward: -0.07, Loss: -0.00, value_loss: 0.25
Episode 181, Reward: -0.54, Average Reward: -0.09, Loss: 0.05, value_loss: 0.19
Episode 183, Reward: -0.72, Average Reward: -0.12, Loss: 0.45, value_loss: 0.03
Episode 184, Reward: -0.69, Average Reward: -0.11, Loss: 0.39, value_loss: 0.02
Episode 185, Reward: -0.64, Average Reward: -0.11, Loss: 0.22, value_loss: 0.24
Episode 187, Reward: -0.48, Average Reward: -0.08, Loss: 0.20, value_loss: 0.17
Episode 188, Reward: -0.67, Average Reward: -0.11, Loss: 0.40, value_loss: 0.08
Episode 190, Reward: -0.51, Average Reward: -0.08, Loss: 0.69, value_loss: 0.26
Episode 192, Reward: -0.18, Average Reward: -0.03, Loss: 0.62, value_loss: 0.87
Episode 193, Reward: -0.74, Average Reward: -0.12, Loss: 0.36, value_loss: 0.03
Episode 195, Reward: -0.39, Average Reward: -0.07, Loss: 0.21, value_loss: 0.24
Episode 196, Reward: -0.48, Average Reward: -0.08, Loss: 0.59, value_loss: 0.29
Episode 197, Reward: -0.43, Average Reward: -0.07, Loss: 0.61, value_loss: 0.65
Episode 198, Reward: -0.74, Average Reward: -0.12, Loss: 0.41, value_loss: 0.03
Episode 199, Reward: -0.68, Average Reward: -0.11, Loss: 0.70, value_loss: 0.18
Episode 200, Reward: -0.57, Average Reward: -0.09, Loss: 0.47, value_loss: 0.19
Episode 201, Reward: -0.38, Average Reward: -0.06, Loss: 0.21, value_loss: 0.71
Episode 202, Reward: -0.72, Average Reward: -0.12, Loss: 0.68, value_loss: 0.05
Episode 208, Reward: -0.41, Average Reward: -0.07, Loss: 0.44, value_loss: 0.55
Episode 210, Reward: -0.62, Average Reward: -0.10, Loss: 0.19, value_loss: 0.18
Episode 211, Reward: -0.69, Average Reward: -0.12, Loss: 0.37, value_loss: 0.15
Episode 212, Reward: -0.73, Average Reward: -0.12, Loss: 0.66, value_loss: 0.03
Episode 213, Reward: -0.73, Average Reward: -0.12, Loss: 0.63, value_loss: 0.03
Episode 214, Reward: -0.62, Average Reward: -0.10, Loss: 0.42, value_loss: 0.14
Episode 215, Reward: -0.60, Average Reward: -0.10, Loss: -0.50, value_loss: 0.31
Episode 216, Reward: -0.65, Average Reward: -0.11, Loss: 0.42, value_loss: 0.14
Episode 217, Reward: -0.67, Average Reward: -0.11, Loss: 0.40, value_loss: 0.12
Episode 221, Reward: -0.43, Average Reward: -0.07, Loss: 0.25, value_loss: 0.16
Episode 224, Reward: -0.61, Average Reward: -0.10, Loss: 0.20, value_loss: 0.21
Episode 226, Reward: -0.64, Average Reward: -0.11, Loss: 0.24, value_loss: 0.05
Episode 231, Reward: -0.52, Average Reward: -0.09, Loss: 0.56, value_loss: 0.14
Episode 233, Reward: -0.52, Average Reward: -0.09, Loss: 0.29, value_loss: 0.26
Episode 241, Reward: -0.54, Average Reward: -0.09, Loss: 0.11, value_loss: 0.40
Episode 246, Reward: -0.67, Average Reward: -0.11, Loss: 0.44, value_loss: 0.01
Episode 247, Reward: -0.40, Average Reward: -0.07, Loss: 0.26, value_loss: 0.74
Episode 248, Reward: -0.67, Average Reward: -0.11, Loss: 0.42, value_loss: 0.06
Episode 249, Reward: -0.48, Average Reward: -0.08, Loss: 0.36, value_loss: 0.07
Episode 250, Reward: 0.11, Average Reward: 0.02, Loss: -0.17, value_loss: 0.20
Episode 252, Reward: -0.39, Average Reward: -0.06, Loss: 0.37, value_loss: 0.43
Episode 253, Reward: -0.27, Average Reward: -0.05, Loss: 0.44, value_loss: 0.28
Episode 254, Reward: -0.75, Average Reward: -0.12, Loss: 0.11, value_loss: 0.02
Episode 256, Reward: -0.46, Average Reward: -0.08, Loss: 0.57, value_loss: 0.36
Episode 257, Reward: -0.55, Average Reward: -0.09, Loss: 0.30, value_loss: 0.10
Episode 258, Reward: -0.45, Average Reward: -0.08, Loss: 0.25, value_loss: 0.23
Episode 260, Reward: -0.72, Average Reward: -0.12, Loss: 0.48, value_loss: 0.08
Episode 261, Reward: -0.67, Average Reward: -0.11, Loss: 0.77, value_loss: 0.18
Episode 262, Reward: -0.63, Average Reward: -0.10, Loss: 0.66, value_loss: 0.24
Episode 267, Reward: -0.65, Average Reward: -0.11, Loss: 0.16, value_loss: 0.19
Episode 270, Reward: -0.70, Average Reward: -0.12, Loss: 0.75, value_loss: 0.10
Episode 274, Reward: -0.70, Average Reward: -0.12, Loss: 0.39, value_loss: 0.10
Episode 275, Reward: -0.73, Average Reward: -0.12, Loss: 0.48, value_loss: 0.03
Episode 277, Reward: -0.71, Average Reward: -0.12, Loss: 0.61, value_loss: 0.04
